"gdp_pps","unemployment","life_expectancy","disposable_income","poverty_risk","early_school_leaving","tertiary_edu","emp_agriculture","emp_industry","emp_services","rd_expenditure","pop_density","renewables_share","ghg_emissions","municipal_waste","geo","country"
31100,7.1,82.3,85,16,7.1,35.9,2.88265705780981,14.9459501801661,22.2152592824691,0.93,51.2,19.391,334083317.76,564,"FRC1","FR"
28300,7,82.4,77,30.6,7.9,32.7,5.39961431326334,21.4698950074995,18.2129847868009,2.93,72.7,19.391,334083317.76,564,"FRC2","FR"
29500,6.4,81.7,80,16.4,7.3,34.6,6.67952314165498,16.234221598878,20.3716690042076,1.25,82.6,19.391,334083317.76,564,"FRD1","FR"
31000,7.6,81.4,84,11.5,10.5,33.8,3.05969129900287,18.2898511132359,21.0763556891135,1.53,151.2,19.391,334083317.76,564,"FRD2","FR"
29100,8.8,80.4,79,25.6,11.4,35.8,1.43894053228066,13.8545778683306,21.7050808608175,0.91,327.9,19.391,334083317.76,564,"FRE1","FR"
26900,9.7,80.7,73,25.6,9.9,31.6,2.58772524048232,14.7947432597209,24.3056496409701,1.49,99.4,19.391,334083317.76,564,"FRE2","FR"
33700,7.1,82.9,92,15.9,6.1,37.7,1.44980506822612,21.4059454191033,20.8211500974659,1.86,231.9,19.391,334083317.76,564,"FRF1","FR"
30900,8.9,81.2,84,33.8,7.9,31.3,6.1137151008763,18.4022824536377,18.4837986549827,0.85,51.4,19.391,334083317.76,564,"FRF2","FR"
27000,8.5,81.3,73,35.5,7.2,31.1,1.36740641111858,17.0925801389823,22.6294552790854,1.29,98.7,19.391,334083317.76,564,"FRF3","FR"
33300,6,83.1,91,21.6,6.9,38.6,4.37390652336916,17.2519370157461,19.0452386903274,1.33,119.2,19.391,334083317.76,564,"FRG0","FR"
31700,5.8,82.4,86,17.3,5.9,40.4,4.06033311887912,14.4256201301022,21.7385088283651,1.75,123.4,19.391,334083317.76,564,"FRH0","FR"
33100,7.4,83.1,90,21.6,6.4,39.9,3.81835537978999,9.89363152870585,22.7669439519978,1.79,84.7,19.391,334083317.76,564,"FRI1","FR"
28700,6.3,82.1,78,23.1,6.7,37,5.92105263157895,12.1710526315789,17.1052631578947,1.33,42.7,19.391,334083317.76,564,"FRI2","FR"
30400,8.6,82.3,83,20,7.2,33.3,4.41393563625627,13.3008562149395,19.368172423974,0.9,70.3,19.391,334083317.76,564,"FRI3","FR"
